gameid,league,split,playoffs,game,patch,blue_team,red_team,blue_ban1,blue_ban2,blue_ban3,blue_ban4,blue_ban5,red_ban1,red_ban2,red_ban3,red_ban4,red_ban5,blue_pick1,blue_pick2,blue_pick3,blue_pick4,blue_pick5,red_pick1,red_pick2,red_pick3,red_pick4,red_pick5,blue_win
ESPORTSTMNT03/1241318,KeSPA,,0,1,9.24,SANDBOX Gaming,T1,LeBlanc,Irelia,Rek'Sai,Yasuo,Renekton,Lucian,Akali,Lee Sin,Olaf,Jarvan IV,Rumble,Elise,Qiyana,Miss Fortune,Nautilus,Aatrox,Gragas,Mordekaiser,Xayah,Rakan,1
ESPORTSTMNT03/1241322,KeSPA,,0,2,9.24,T1,SANDBOX Gaming,Syndra,LeBlanc,Rumble,Braum,Leona,Lucian,Akali,Rek'Sai,Irelia,Camille,Jayce,Jarvan IV,Orianna,Miss Fortune,Nautilus,Aatrox,Elise,Qiyana,Varus,Tahm Kench,0
ESPORTSTMNT03/1241324,KeSPA,,0,3,9.24,T1,SANDBOX Gaming,LeBlanc,Rumble,Lee Sin,Gragas,Olaf,Lucian,Akali,Elise,Irelia,Orianna,Renekton,Rek'Sai,Mordekaiser,Xayah,Rakan,Aatrox,Sejuani,Azir,Miss Fortune,Nautilus,1
ESPORTSTMNT03/1241328,KeSPA,,0,4,9.24,T1,SANDBOX Gaming,Rumble,Varus,LeBlanc,Aatrox,Syndra,Lucian,Rek'Sai,Akali,Renekton,Qiyana,Pantheon,Elise,Nautilus,Xayah,Rakan,Quinn,Olaf,Orianna,Miss Fortune,Leona,0
ESPORTSTMNT03/1241386,KeSPA,,0,1,9.24,DRX,Afreeca Freecs,Qiyana,Orianna,Irelia,Tahm Kench,Gangplank,Miss Fortune,Akali,Lucian,Lee Sin,Rumble,Mordekaiser,Jarvan IV,Ryze,Xayah,Rakan,Renekton,Elise,Vel'Koz,Varus,Braum,0
ESPORTSTMNT03/1241394,KeSPA,,0,2,9.24,Afreeca Freecs,DRX,Irelia,Syndra,Elise,Jarvan IV,Fiora,Akali,Lucian,Qiyana,Rek'Sai,Poppy,Kennen,Olaf,Ornn,Miss Fortune,Braum,Vladimir,Lee Sin,Rumble,Varus,Thresh,1
ESPORTSTMNT03/1241396,KeSPA,,0,3,9.24,Afreeca Freecs,DRX,Irelia,Syndra,Elise,Mordekaiser,Ornn,Akali,Lucian,Rek'Sai,Fiora,Ryze,Camille,Qiyana,Orianna,Miss Fortune,Braum,Aatrox,Lee Sin,Fizz,Varus,Thresh,1
ESPORTSTMNT03/1241467,KeSPA,,0,1,9.24,SANDBOX Gaming,Afreeca Freecs,Qiyana,Elise,Ornn,Gragas,Orianna,Akali,Lucian,Miss Fortune,LeBlanc,Rek'Sai,Rumble,Olaf,Syndra,Senna,Tahm Kench,Irelia,Lee Sin,Ekko,Varus,Braum,0
ESPORTSTMNT03/1241468,KeSPA,,0,2,9.24,Afreeca Freecs,SANDBOX Gaming,Syndra,Rek'Sai,Gangplank,Irelia,LeBlanc,Lucian,Miss Fortune,Akali,Elise,Gragas,Kennen,Qiyana,Ornn,Xayah,Rakan,Aatrox,Lee Sin,Vladimir,Varus,Tahm Kench,1
ESPORTSTMNT03/1241474,KeSPA,,0,3,9.24,SANDBOX Gaming,Afreeca Freecs,Irelia,Braum,Ornn,Xayah,Kai'Sa,Akali,Lucian,Miss Fortune,Lee Sin,Zoe,Aatrox,Olaf,Orianna,Varus,Tahm Kench,Hecarim,Qiyana,Rumble,Sivir,Nautilus,0
